OBJECTID,LM_ID,LM_NAME,CATEGORY,LM_TYPE,SDA_CAT,STR_ADDR,UNIT,MUN,PR,POSTAL,PHONE,WEBSITE,Type,ExtDay,WARDNUM,ROPADRID,x,y
291,CC-PLP-136,St. Clare (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4140 Glen Erin Dr,,Mississauga,ON,L5L 2B1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0641,School-Based Centre,Yes,8,28156,-8871784.68375917,5395394.11675407
292,CC-PLP-138,St. David of Wales (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4200 Beacon Lane,,Mississauga,ON,L5C 3V0,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0642,School-Based Centre,Yes,6,28336,-8868422.47104497,5399911.74859187
293,CC-PLP-139,St. Dominic (PLASP),Social Services,Child Care (PLASP),Child Care Centre,515 Hartsdale Ave,,Mississauga,ON,L5G 2G7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1044,School-Based Centre,Yes,1,136134,-8858787.63621433,5399713.12240171
294,CC-PLP-140b,St. Edith Stein Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,6234 Osprey Blvd,,Mississauga,ON,L5N 5V5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0937,School-Based Centre,No,10,,-8878706.58815213,5398610.72937815
295,CC-PLP-141,St. Edmund (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1250 Melton Dr,,Mississauga,ON,L4Y 1L5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0672,School-Based Centre,Yes,1,22541,-8858464.62194501,5403553.65825182
296,CC-PLP-142,St. Elizabeth Seton (PLASP),Social Services,Child Care (PLASP),Child Care Centre,6133 Glen Erin Dr,,Mississauga,ON,L5N 2T7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0667,School-Based Centre,Yes,9,1629,-8876721.83529906,5400318.28743812
297,CC-PLP-144,St. Faustina (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3420 McDowell Dr,,Mississauga,ON,L5M 6R7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0715,School-Based Centre,Yes,10,275689,-8877805.28354368,5397121.66707811
298,CC-PLP-145,St. Francis of Assisi (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2480 Thorn Lodge Dr,,Mississauga,ON,L5K 1K5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0643,School-Based Centre,Yes,2,37715,-8869049.38557782,5392502.89514153
299,CC-FDC-023,St. Francis Xavier (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,50 Bristol Rd W,,Mississauga,ON,L5R 3K3,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0534,School-Based Centre,Yes,5,259249,-8868193.74415155,5405716.43356868
300,CC-PLP-146,St. Francis Xavier (PLASP),Social Services,Child Care (PLASP),Child Care Centre,111 Bartley Bull Pky,,Brampton,ON,L6W 2J8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0919,School-Based Centre,Yes,3,48102,-8876426.02952863,5415268.42809773
301,CC-PLP-147,St. Gerard (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1300 McBride Ave,,Mississauga,ON,L5C 1M8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1042,School-Based Centre,Yes,6,295791,-8867339.22044122,5397449.11357926
302,CC-PLP-148b,St. Gregory Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1075 Swinbourne Dr,,Mississauga,ON,L5V 1B9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0565,School-Based Centre,No,11,,-8873013.41967601,5405221.65100455
303,CC-FDC-024,St. Herbert (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,5180 Fallingbrook Dr,,Mississauga,ON,L5V 2C6,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0541,School-Based Centre,Yes,6,,-8870459.43288968,5401586.4539808
304,CC-YMC-062,St. Hilary (YMCA),Social Services,Child Care (YMCA),Child Care Centre,5070 Fairwind Dr,,Mississauga,ON,L5R 2N4,905-568-1549,https://peelchildcare.cioc.ca/record/CDR0535,School-Based Centre,Yes,5,,-8867827.39845404,5404360.19448774
305,CC-OTH-206,St. Hilary's Day Care Centre,Social Services,Child Care (Other),Child Care Centre,2055 Hurontario St,,Mississauga,ON,L5A 2E6,905-279-2273,https://peelchildcare.cioc.ca/record/CDR0456,Community-Based Non-Profit Centre,No,7,,-8861083.48106452,5399129.14137722
306,CC-PLP-150,St. Isaac Jogues (PLASP),Social Services,Child Care (PLASP),Child Care Centre,300 Great Lakes Dr,,Brampton,ON,L6R 2X7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0770,School-Based Centre,Yes,9,288171,-8879919.95794123,5424666.489698
307,CC-PLP-153,St. Jean Brebeuf (PLASP),Social Services,Child Care (PLASP),Child Care Centre,63 Glenforest Rd,,Brampton,ON,L6S 4E1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0737,School-Based Centre,Yes,8,67035,-8874912.49656525,5424406.87492198
308,CC-PLP-154,St. Jerome (PLASP),Social Services,Child Care (PLASP),Child Care Centre,790 Paisley Blvd W,,Mississauga,ON,L5C 3P5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0644,School-Based Centre,Yes,7,36394,-8864436.99294278,5397498.75080869
309,CC-PLP-155,St. Joachim (PLASP),Social Services,Child Care (PLASP),Child Care Centre,435 Rutherford Rd N,,Brampton,ON,L6V 3V9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0855,School-Based Centre,Yes,1,235577,-8879608.73427448,5421178.95966447
310,CC-PLP-156,St. John Bosco (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1025 North Park Dr,,Brampton,ON,L6S 4E1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0738,School-Based Centre,Yes,8,184470,-8875862.73490763,5425625.9111706
311,CC-PLP-157,St. John Fisher (PLASP),Social Services,Child Care (PLASP),Child Care Centre,330 Balmoral Dr,,Brampton,ON,L6T 1V6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0739,School-Based Centre,Yes,7,60657,-8873392.37602295,5420869.68515842
312,CC-PLP-159,St. John of the Cross (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3180 Aquitaine Ave,,Mississauga,ON,L5N 3S5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0668,School-Based Centre,Yes,9,107188,-8879751.76862301,5400566.83027254
313,CC-YMC-064,St. John the Baptist (YMCA),Social Services,Child Care (YMCA),Child Care Centre,299 Landsbridge St,,Caledon,ON,L7E 2K4,647-203-3800,https://peelchildcare.cioc.ca/record/CDR0605,School-Based Centre,Yes,5,215441,-8873608.17725606,5445506.47947856
314,CC-PLP-162,St. Joseph (PLASP),Social Services,Child Care (PLASP),Child Care Centre,249 Church St,,Mississauga,ON,L5M 1N1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1040,School-Based Centre,Yes,11,183493,-8873274.08183708,5400899.05030483
315,CC-PLP-163,St. Josephine Bakhita (PLASP),Social Services,Child Care (PLASP),Child Care Centre,430 Van Kirk Dr,,Brampton,ON,L7A 0J2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0783,School-Based Centre,Yes,2,299385,-8886149.99439201,5422319.09653715
316,CC-PLP-164b,St. Jude Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,175 Nahani Way,,Mississauga,ON,L4Z 3J6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0979,School-Based Centre,No,5,,-8866858.22390021,5405822.89085063
317,CC-PLP-165,St. Julia (PLASP),Social Services,Child Care (PLASP),Child Care Centre,6770 Historic Trail,,Mississauga,ON,L5W 1J3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0718,School-Based Centre,Yes,11,254090,-8874800.95053857,5406844.57998249
318,CC-PLP-166b,St. Kevin Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,103 Malta Ave,,Brampton,ON,L6Y 4C8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0437,School-Based Centre,No,4,,-8875698.48394658,5413105.81014268
319,CC-YMC-066,St. Leonard (YMCA),Social Services,Child Care (YMCA),Child Care Centre,30 Summer Valley Dr,,Brampton,ON,L6Z4V6,1-866-317-6251 ext 750,https://peelchildcare.cioc.ca/record/CDR0983,School-Based Centre,Yes,2,80078,-8886048.38939073,5424838.00058761
320,CC-YMC-067,St. Louis (YMCA),Social Services,Child Care (YMCA),Child Care Centre,1450 Lewisham Dr,,Mississauga,ON,L5J 3R3,1-647-298-0752,https://peelchildcare.cioc.ca/record/CDR0624,School-Based Centre,Yes,2,135229,-8866135.43383468,5390876.28688064
321,CC-PLP-167,St. Lucy (PLASP),Social Services,Child Care (PLASP),Child Care Centre,25 Kanata Rd,,Brampton,ON,L7A 3R2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0785,School-Based Centre,Yes,6,265668,-8885650.5659072,5420390.49638066
322,CC-PLP-168,St. Luke (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1280 Cobalt St,,Mississauga,ON,L5H 4L8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0659,School-Based Centre,Yes,2,285479,-8861628.27065015,5395588.98303321
323,CC-PLP-169,St. Margaret of Scotland (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2266 Council Ring Rd,,Mississauga,ON,L5L 1C1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0646,School-Based Centre,Yes,8,30292,-8869507.55770266,5393977.06740629
324,CC-PLP-170,St. Margarite Bourgeoys (PLASP),Social Services,Child Care (PLASP),Child Care Centre,550 North Park Dr,,Brampton,ON,L6S 4J8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0740,School-Based Centre,Yes,7,175755,-8878156.362087,5423392.86024892
325,CC-FDC-025,St. Maria Goretti Child Care Centre (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,121 Royal Orchard Dr,,Brampton,ON,L6X 4K9,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0406,School-Based Centre,No,5,169176,-8882070.52831766,5418574.64367331
326,CC-PLP-171,St. Mark (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3675 Sawmill Valley Dr,,Mississauga,ON,L5L 2Z5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0645,School-Based Centre,Yes,8,106606,-8870031.06545893,5396385.06352155
327,CC-YMC-068,St. Mary (YMCA),Social Services,Child Care (YMCA),Child Care Centre,66 Main St S,,Brampton,ON,L6W 2C6,647-924-0130,https://peelchildcare.cioc.ca/record/CDR1092,School-Based Centre,Yes,3,223312,-8878100.27674306,5416614.7401326
328,CC-PLP-172b,St. Matthew Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,280 Kingsbridge Garden Cir,,Mississauga,ON,L5R 1L3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0935,School-Based Centre,No,4,,-8867224.99007846,5403650.2949487
329,CC-PLP-173,St. Monica (PLASP),Social Services,Child Care (PLASP),Child Care Centre,60 Sterritt Dr,,Brampton,ON,L6Y 5B6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0856,School-Based Centre,Yes,4,51375,-8880148.00353887,5413701.57732935
330,CC-YMC-069,St. Nicholas (YMCA),Social Services,Child Care (YMCA),Child Care Centre,120 Harvest Moon Dr,,Caledon,ON,L7E 2W1,416-819-8262,https://peelchildcare.cioc.ca/record/CDR0606,School-Based Centre,Yes,5,303130,-8878700.91655721,5445556.65366529
331,CC-PLP-174,St. Patrick (PLASP),Social Services,Child Care (PLASP),Child Care Centre,11948 The Gore Rd,,Brampton,ON,L6P 0A2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1011,School-Based Centre,Yes,10,215718,-8875156.8544879,5437267.42909035
332,CC-PLP-175,St. Philip (PLASP),Social Services,Child Care (PLASP),Child Care Centre,345 Fairview Rd W,,Mississauga,ON,L5B 3W5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0673,School-Based Centre,Yes,7,268315,-8864660.12128934,5400515.97241696
333,CC-PLP-176,St. Pio of Pietrelcina (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4765 Huron Heights Dr,,Mississauga,ON,L4Z 4G9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0696,School-Based Centre,Yes,4,277168,-8865804.60507592,5404983.80263378
334,CC-PLP-177,St. Raphael (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3470 Clara Dr,,Mississauga,ON,L4T 2C7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0978,School-Based Centre,Yes,5,,-8866153.05895637,5422410.98675857
335,CC-FDC-026,St. Raymond (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,5735 Whitehorn Ave,,Mississauga,ON,L5V 2A9,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0859,School-Based Centre,Yes,6,267612,-8872345.77723129,5402975.62650002
336,CC-PLP-178,St. Richard (PLASP),Social Services,Child Care (PLASP),Child Care Centre,7270 Copenhagen Rd,,Mississauga,ON,L5N 2C3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0702,School-Based Centre,Yes,9,9306,-8880046.85015302,5402744.34529901
337,CC-PLP-179,St. Rita (PLASP),Social Services,Child Care (PLASP),Child Care Centre,30 Summer Valley Dr,,Brampton,ON,L6V 2V7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0777,School-Based Centre,Yes,2,80078,-8886038.88039977,5424831.15159821
338,CC-YMC-070,St. Rose of Lima (YMCA),Social Services,Child Care (YMCA),Child Care Centre,4590 The Gallops,,Mississauga,ON,L5M 2W4,647-963-9582,https://peelchildcare.cioc.ca/record/CDR0981,School-Based Centre,Yes,8,289148,-8871973.67719591,5397729.94583853
339,CC-PLP-180,St. Sebastian (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3460 Aquinas Ave,,Mississauga,ON,L5M 7L2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0719,School-Based Centre,Yes,8,281031,-8874682.99578384,5394678.55490974
340,CC-YMC-071,St. Simon Stock (YMCA),Social Services,Child Care (YMCA),Child Care Centre,6440 Lisgar Dr,,Mississauga,ON,L5N 6X3,647-299-5015,https://peelchildcare.cioc.ca/record/CDR0913,School-Based Centre,Yes,10,297567,-8879961.8567692,5398423.29588491
341,CC-PLP-181b,St. Stephen Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,17 Colonel Bertram Rd,,Brampton,ON,L6Z 4N8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0434,School-Based Centre,No,2,,-8885021.50186517,5423476.76389457
342,CC-PLP-184,St. Therese of the Child Jesus (PLASP),Social Services,Child Care (PLASP),Child Care Centre,6930 Forest Park Dr,,Mississauga,ON,L5N 6X7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0704,School-Based Centre,Yes,10,280392,-8880813.91512417,5400623.33909648
343,CC-PLP-185,St. Thomas More (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3270 Tomken Rd,,Mississauga,ON,L4Y 2Y7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0674,School-Based Centre,Yes,3,109967,-8861263.6213725,5404604.41979356
344,CC-PLP-186,St. Timothy (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2214 Cliff Rd,,Mississauga,ON,L5A 2N9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0694,School-Based Centre,Yes,7,253306,-8860960.19813784,5400674.85350879
345,CC-PLP-187,St. Ursula (PLASP),Social Services,Child Care (PLASP),Child Care Centre,11 Dwellers Rd,,Brampton,ON,L6X 5C1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0773,School-Based Centre,Yes,5,292794,-8883314.91815331,5417457.03732167
346,CC-FDC-027,St. Valentine (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,5610 Heatherleigh Ave,,Mississauga,ON,L5V 2V9,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0917,School-Based Centre,Yes,6,271616,-8870997.33661408,5403852.18475311
347,CC-PLP-188,St. Veronica (PLASP),Social Services,Child Care (PLASP),Child Care Centre,680 Novo Star Dr,,Mississauga,ON,L5W 1C7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0716,School-Based Centre,Yes,11,227954,-8874093.96121394,5408548.14801793
348,CC-PLP-189,St. Vincent de Paul (PLASP),Social Services,Child Care (PLASP),Child Care Centre,665 Willowbank Trail,,Mississauga,ON,L4W 3L6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0675,School-Based Centre,Yes,3,303930,-8863443.82003298,5405806.47239073
349,CC-PLP-190,Stanley Mills (PLASP),Social Services,Child Care (PLASP),Child Care Centre,286 Sunny Meadow Blvd,,Brampton,ON,L6R 3C3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0791,School-Based Centre,Yes,9,236991,-8878640.91830817,5428461.04768752
350,CC-OTH-207,Streetsville Children's Centre - Millcreek,Social Services,Child Care (Other),Child Care Centre,6535 Millcreek Dr,"51,52",Mississauga,ON,L5N 2M2,905-813-7318,https://peelchildcare.cioc.ca/record/CDR0526,Community-Based For-Profit Centre,No,9,86867,-8876880.79541784,5402656.90217017
351,CC-YMC-021,Falconer (YMCA),Social Services,Child Care (YMCA),Child Care Centre,114 Falconer Dr,,Mississauga,ON,L5N 1B4,905-813-1944,https://peelchildcare.cioc.ca/record/CDR0536,Community-Based Non-Profit Centre,No,11,,-8875440.63047587,5404042.34106416
352,CC-PLP-191,Sts. Martha and Mary (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1760 Bough Beeches Blvd,,Mississauga,ON,L4W 2B9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0676,School-Based Centre,Yes,3,113569,-8861266.26292142,5409304.48303072
353,CC-PLP-192,Sts. Peter and Paul (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4205 Woodington Dr,,Mississauga,ON,L4Z 1K2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1048,School-Based Centre,Yes,4,255654,-8864932.61909929,5404116.76061153
354,CC-OTH-208,Sunshine Children's Centre,Social Services,Child Care (Other),Child Care Centre,3657 Ponytrail Dr,,Mississauga,ON,L4X 1W5,905-625-6539,https://peelchildcare.cioc.ca/record/CDR0457,Community-Based Non-Profit Centre,No,3,250467,-8859935.44844079,5408849.130926
355,CC-PLP-193,Tecumseh (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1480 Chriseden Dr,,Mississauga,ON,L5H 1V4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0657,School-Based Centre,Yes,2,146969,-8862480.72174714,5395560.55008758
356,CC-OTH-210,Tender Years Co-operative School,Social Services,Child Care (Other),Child Care Centre,1444 Dundas Cres,,Mississauga,ON,L5C 1E9,905-828-1104,https://peelchildcare.cioc.ca/record/CDR0472,Community-Based Non-Profit Centre,No,7,,-8866502.80426465,5395773.53970882
357,CC-PLP-194,Terry Fox (PLASP),Social Services,Child Care (PLASP),Child Care Centre,95 Richvale Dr N,,Brampton,ON,L6Z 1Y6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0744,School-Based Centre,Yes,2,290941,-8882454.54495039,5423953.03883222
358,CC-PLP-195,Thornwood (PLASP),Social Services,Child Care (PLASP),Child Care Centre,277 Mississauga Valley Blvd,,Mississauga,ON,L5A 1Y6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0677,School-Based Centre,Yes,4,228271,-8863378.65780883,5402123.8773184
359,CC-OTH-214,Tiny Treasure Mississauga Day Care,Social Services,Child Care (Other),Child Care Centre,80 King St W,,Mississauga,ON,L5B 1G9,905-276-2370,https://peelchildcare.cioc.ca/record/CDR0480,Community-Based For-Profit Centre,No,7,240758,-8862773.80243364,5400150.38436369
360,CC-OTH-215,Tiny Treasure Montessori School,Social Services,Child Care (Other),Child Care Centre,84 South Service Rd,,Mississauga,ON,L5G 2R9,905-271-2600,https://peelchildcare.cioc.ca/record/CDR0587,Community-Based For-Profit Centre,No,1,,-8860664.01751761,5399138.36730684
361,CC-OTH-217,Tot Town Child Care,Social Services,Child Care (Other),Child Care Centre,7205 Copenhagen Rd ,"3,4",Mississauga,ON,L5N 2C5,905-858-7852,https://peelchildcare.cioc.ca/record/CDR1012,Community-Based For-Profit Centre,No,9,400161,-8879850.30238596,5403016.13253902
362,CC-PLP-196,Treeline (PLASP),Social Services,Child Care (PLASP),Child Care Centre,145 Treeline Blvd,,Brampton,ON,L6P 1E7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0767,School-Based Centre,Yes,10,319272,-8875822.13032376,5431202.0918226
363,CC-PLP-197b,Trelawny Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3420 Trelawny Cir,,Mississauga,ON,L5N 6N6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0529,School-Based Centre,No,10,,-8879849.29306069,5399366.99337688
364,CC-YMC-046,Mississauga Valley (YMCA),Social Services,Child Care (YMCA),Child Care Centre,1275 Mississauga Valley Blvd,,Mississauga,ON,L5A 3R8,905-276-5038,https://peelchildcare.cioc.ca/record/CDR0481,Community-Based Non-Profit Centre,No,4,,-8863669.79619925,5403351.63759417
365,CC-PLP-011,Blessed Michael J. McGivney (PLASP),Social Services,Child Care (PLASP),Child Care Centre,450 Fernforest Dr,,Brampton,ON,L6R 2P7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0786,School-Based Centre,Yes,9,86592,-8879758.26324037,5427255.5194141
366,CC-PLP-199,Vista Heights (PLASP),Social Services,Child Care (PLASP),Child Care Centre,89 Vista Blvd,,Mississauga,ON,L5M 1V8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0699,School-Based Centre,Yes,11,400216,-8875028.99791099,5399989.48997952
367,CC-OTH-221,West Park Day Care,Social Services,Child Care (Other),Child Care Centre,3100 Ridgeway Dr ,45,Mississauga,ON,L5L 5M5,905-820-7211,https://peelchildcare.cioc.ca/record/CDR0494,Community-Based Non-Profit Centre,No,8,,-8871310.72595632,5391164.32942332
368,CC-PLP-200,Westacres (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2165 Breezy Brae Dr,,Mississauga,ON,L4Y 1N3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0678,School-Based Centre,Yes,1,117993,-8859123.29873793,5402244.91208591
369,CC-OTH-222,Westbrook Montessori Academy,Social Services,Child Care (Other),Child Care Centre,7227 Copenhagen Rd,,Mississauga,ON,L5N 2C6,905-826-4648,https://peelchildcare.cioc.ca/record/CDR0248,Community-Based For-Profit Centre,No,9,110204,-8879920.69633859,5402946.34483448
370,CC-PLP-203,White Oaks (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1690 Mazo Cres,,Mississauga,ON,L5J 1Y8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0658,School-Based Centre,Yes,2,45603,-8864649.82551706,5392574.15469199
371,CC-OTH-228,White Pines Montessori Academy,Social Services,Child Care (Other),Child Care Centre,3945 Doug Leavens Blvd,,Mississauga,ON,L5N 0A5,905-824-8700,https://peelchildcare.cioc.ca/record/CDR1015,Community-Based For-Profit Centre,No,10,,-8880527.33533368,5398702.84341171
372,CC-PLP-204,Whitehorn (PLASP),Social Services,Child Care (PLASP),Child Care Centre,5785 Whitehorn Ave,,Mississauga,ON,L5V 2A9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0714,School-Based Centre,Yes,6,275702,-8872442.17986974,5403146.18017332
373,CC-FDC-030,Willow Way (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,1715 Willow Way,,Mississauga,ON,L5M 3W5,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0537,School-Based Centre,Yes,6,,-8873262.40224962,5401859.23992244
374,CC-PLP-205,Worthington (PLASP),Social Services,Child Care (PLASP),Child Care Centre,71 Worthington Ave,,Brampton,ON,L7A 1N9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0771,School-Based Centre,Yes,6,276742,-8885363.73354412,5416741.96826679
375,CC-OTH-231,Young Minds Montessori Preschool,Social Services,Child Care (Other),Child Care Centre,1744 Lakeshore Rd W,,Mississauga,ON,L5J 4N8,905-403-0403,https://peelchildcare.cioc.ca/record/CDR0566,Community-Based For-Profit Centre,No,2,418038,-8863569.06193537,5390990.91848035
376,CC-HDC-001,A Child's Place Home Child Care Agency,Social Services,Child Care (Home Child Care),Child Care Centre,10588 Eighth Line,,Halton Hills,ON,L7G 4S5,905-873-9119,https://peelchildcare.cioc.ca/record/CDR0797,Home Care,No,0,,-8894391.81110416,5408307.77236771
377,CC-OTH-011,Alpha Child Care II - Cathedral,Social Services,Child Care (Other),Child Care Centre,3 Cathedral Rd,,Brampton,ON,L6W 2P1,905-456-1811,https://peelchildcare.cioc.ca/record/CDR0404,Community-Based For-Profit Centre,No,3,390928,-8876943.40256721,5415887.72377266
378,CC-PLP-010,Bishop Scalabrini (PLASP),Social Services,Child Care (PLASP),Child Care Centre,225 Central Pky W,,Mississauga,ON,L5B 3J5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0680,School-Based Centre,Yes,7,221571,-8864983.6837726,5401399.98571226
379,CC-OTH-018,Bizzy Buddies Learning and Childcare,Social Services,Child Care (Other),Child Care Centre,12612 Highway 50 ,13A,Caledon,ON,L7E 1T6,905-857-7648,https://peelchildcare.cioc.ca/record/CDR0976,Community-Based For-Profit Centre,No,5,392161,-8873552.38889254,5443739.33970974
380,CC-PLP-016,Britannia (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1145 Swinbourne Dr,,Mississauga,ON,L5V 1C2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0701,School-Based Centre,Yes,11,293953,-8872971.32770891,5404739.05408816
381,CC-PLP-029,Conestoga (PLASP),Social Services,Child Care (PLASP),Child Care Centre,300 Conestoga Dr,,Brampton,ON,L6Z 3M1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0755,School-Based Centre,Yes,2,185767,-8881773.72953855,5421477.12540141
382,CC-OTH-074,Early Learning Centre - University of Toronto-Mississauga (UTM),Social Services,Child Care (Other),Child Care Centre,3359 Mississauga Rd,,Mississauga,ON,L5C 1C6,905-569-4422,https://peelchildcare.cioc.ca/record/CDR0496,Community-Based Non-Profit Centre,No,8,,-8868158.36017681,5395457.03706613
383,CC-HDC-005,Family Day Home Child Care Agency,Social Services,Child Care (Home Child Care),Child Care Centre,155 Gordon Baker Rd,400,Toronto,ON,M2H 3N5,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0803,Home Care,No,0,,-8832644.27416755,5435228.40533981
384,CC-HDC-006,Kids Kare Home Day Care Agency Ltd.,Social Services,Child Care (Home Child Care),Child Care Centre,109 Berard Crt,,Barrie,ON,L4N 1S7,905-792-0880,https://peelchildcare.cioc.ca/record/CDR0802,Home Care,No,0,,-8875572.30018979,5519449.78986319
385,CC-PLP-072,Kingswood Drive (PLASP),Social Services,Child Care (PLASP),Child Care Centre,235 Kingsview Dr,,Brampton,ON,L6V 3B3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0758,School-Based Centre,Yes,1,60756,-8879489.13534764,5419465.90347641
386,CC-OTH-135,Little Rascals Preschool,Social Services,Child Care (Other),Child Care Centre,158A Queen St S,,Mississauga,ON,L5M 1K8,905-858-0177,https://peelchildcare.cioc.ca/record/CDR0505,Community-Based For-Profit Centre,No,11,264872,-8873838.45087772,5401043.97292788
387,CC-YMC-040,McHugh (YMCA),Social Services,Child Care (YMCA),Child Care Centre,31 Craig St,,Brampton,ON,L6Y 1J2,416-928-9622,https://peelchildcare.cioc.ca/record/CDR0736,School-Based Centre,Yes,3,390972,-8878752.64426541,5416011.50343147
